image_name,species,percentage_darker,darker_pixel_count,total_wingtip_pixels
107.png,Glaucous_Winged_Gull,64.59251101321586,1173,1816
108.png,Glaucous_Winged_Gull,34.879272148778256,53058,152119
109.png,Glaucous_Winged_Gull,55.08685267614808,101481,184220
110.png,Glaucous_Winged_Gull,71.04206431156585,136226,191754
111.png,Glaucous_Winged_Gull,56.71382030178327,66151,116640
112.png,Glaucous_Winged_Gull,57.68651281224461,103759,179867
114.png,Glaucous_Winged_Gull,80.14848938120338,235227,293489
115.png,Glaucous_Winged_Gull,36.0214507192599,14173,39346
116.png,Glaucous_Winged_Gull,78.00586510263929,532,682
117.png,Glaucous_Winged_Gull,43.98699891657638,406,923
118.png,Glaucous_Winged_Gull,94.91734898810444,6144,6473
120.png,Glaucous_Winged_Gull,24.17409543786051,461,1907
121.png,Glaucous_Winged_Gull,52.8936170212766,1243,2350
122.png,Glaucous_Winged_Gull,46.81818181818182,515,1100
123.png,Glaucous_Winged_Gull,1.5191545574636725,23,1514
124.png,Glaucous_Winged_Gull,25.94402487783207,584,2251
125.png,Glaucous_Winged_Gull,23.684210526315788,423,1786
126.png,Glaucous_Winged_Gull,5.965909090909091,105,1760
127.png,Glaucous_Winged_Gull,18.007483629560337,385,2138
129.png,Glaucous_Winged_Gull,19.91614255765199,95,477
130.png,Glaucous_Winged_Gull,37.99660441426146,1119,2945
131.png,Glaucous_Winged_Gull,48.888172736061875,1517,3103
132.png,Glaucous_Winged_Gull,50.78883495145631,837,1648
134.png,Glaucous_Winged_Gull,21.930803571428573,393,1792
135.png,Glaucous_Winged_Gull,28.529194382852918,386,1353
136.png,Glaucous_Winged_Gull,60.705073086844365,706,1163
137.png,Glaucous_Winged_Gull,54.50218167393891,1374,2521
138.png,Glaucous_Winged_Gull,46.523668639053255,629,1352
tmpbmib4ve2.PNG,Glaucous_Winged_Gull,90.9457019858353,6549,7201
tmplp3j25qc.PNG,Glaucous_Winged_Gull,74.98455836936381,1214,1619
